project_name,installation_name,station_name,Depth,receiver_name,geom,installation_type,imos_b,longitude,latitude,name
IMOS-ATF Bondi line,IMOS-ATF Bondi Line,BL 1,27,VR4,POINT (151.28 -33.89),CURTAIN,TRUE,151.2883,-33.8957,IMOS-ATF
IMOS-ATF Bondi line,IMOS-ATF Bondi Line,BL 10,80,VR4,POINT (151.35 -33.93),CURTAIN,TRUE,151.353,-33.9344,IMOS-ATF
IMOS-ATF Bondi line,IMOS-ATF Bondi Line,BL 11,82,VR4,POINT (151.36 -33.93),CURTAIN,TRUE,151.3602,-33.9388,IMOS-ATF
IMOS-ATF Bondi line,IMOS-ATF Bondi Line,BL 12,84,VR4,POINT (151.36 -33.94),CURTAIN,TRUE,151.3679,-33.9433,IMOS-ATF
IMOS-ATF Bondi line,IMOS-ATF Bondi Line,BL 13,90,VR4,POINT (151.37 -33.94),CURTAIN,TRUE,151.3751,-33.9476,IMOS-ATF
IMOS-ATF Bondi line,IMOS-ATF Bondi Line,BL 14,98,VR4,POINT (151.38 -33.95),CURTAIN,TRUE,151.3825,-33.9521,IMOS-ATF
IMOS-ATF Bondi line,IMOS-ATF Bondi Line,BL 15,119,VR4,POINT (151.38 -33.95),CURTAIN,TRUE,151.3899,-33.9566,IMOS-ATF
IMOS-ATF Bondi line,IMOS-ATF Bondi Line,BL 2,41,VR4,POINT (151.29 -33.89),CURTAIN,TRUE,151.2959,-33.8985,IMOS-ATF
IMOS-ATF Bondi line,IMOS-ATF Bondi Line,BL 3,58,VR4,POINT (151.3 -33.9),CURTAIN,TRUE,151.303,-33.9027,IMOS-ATF
IMOS-ATF Bondi line,IMOS-ATF Bondi Line,BL 4,62,VR4,POINT (151.31 -33.9),CURTAIN,TRUE,151.31,-33.9069,IMOS-ATF
IMOS-ATF Bondi line,IMOS-ATF Bondi Line,BL 5,64,VR4,POINT (151.31 -33.91),CURTAIN,TRUE,151.3168,-33.9127,IMOS-ATF
IMOS-ATF Bondi line,IMOS-ATF Bondi Line,BL 6,64,VR4,POINT (151.32 -33.91),CURTAIN,TRUE,151.3242,-33.917,IMOS-ATF
IMOS-ATF Bondi line,IMOS-ATF Bondi Line,BL 7,71,VR4,POINT (151.33 -33.92),CURTAIN,TRUE,151.3314,-33.9214,IMOS-ATF
IMOS-ATF Bondi line,IMOS-ATF Bondi Line,BL 8,71,VR4,POINT (151.33 -33.92),CURTAIN,TRUE,151.3384,-33.9256,IMOS-ATF
IMOS-ATF Bondi line,IMOS-ATF Bondi Line,BL 9,81,VR4,POINT (151.34 -33.93),CURTAIN,TRUE,151.3456,-33.93,IMOS-ATF
IMOS-ATF Cabbage Tree Bay Aquatic Reserve (CTBAR),IMOS-ATF CTBAR,CTBAR NewNorth,7,VR2Tx,POINT (151.29 -33.79),ARRAY,TRUE,151.2951,-33.7986,IMOS-ATF
IMOS-ATF Cabbage Tree Bay Aquatic Reserve (CTBAR),IMOS-ATF CTBAR,CTBAR Outside NEW,20,VR2Tx,POINT (151.3 -33.8),ARRAY,TRUE,151.3056,-33.8007,IMOS-ATF
IMOS-ATF Coffs Harbour line,IMOS-ATF Coffs Harbour line,CHS 1,18,VR4,POINT (153.17 -30.21),CURTAIN,TRUE,153.1746,-30.2112,IMOS-ATF
IMOS-ATF Coffs Harbour line,IMOS-ATF Coffs Harbour line,CHS 10,31,VR4,POINT (153.24 -30.2),CURTAIN,TRUE,153.2492,-30.2073,IMOS-ATF
IMOS-ATF Coffs Harbour line,IMOS-ATF Coffs Harbour line,CHS 11,25,VR4,POINT (153.25 -30.2),CURTAIN,TRUE,153.2585,-30.2063,IMOS-ATF
IMOS-ATF Coffs Harbour line,IMOS-ATF Coffs Harbour line,CHS 12,48,VR4,POINT (153.27 -30.2),CURTAIN,TRUE,153.2752,-30.2053,IMOS-ATF
IMOS-ATF Coffs Harbour line,IMOS-ATF Coffs Harbour line,CHS 13,52,VR4,POINT (153.28 -30.2),CURTAIN,TRUE,153.2834,-30.2044,IMOS-ATF
IMOS-ATF Coffs Harbour line,IMOS-ATF Coffs Harbour line,CHS 2,21,VR4,POINT (153.18 -30.21),CURTAIN,TRUE,153.1812,-30.2136,IMOS-ATF
IMOS-ATF Coffs Harbour line,IMOS-ATF Coffs Harbour line,CHS 3,24,VR4,POINT (153.18 -30.21),CURTAIN,TRUE,153.1899,-30.2128,IMOS-ATF
IMOS-ATF Coffs Harbour line,IMOS-ATF Coffs Harbour line,CHS 4,26,VR4,POINT (153.19 -30.21),CURTAIN,TRUE,153.1985,-30.2121,IMOS-ATF
IMOS-ATF Coffs Harbour line,IMOS-ATF Coffs Harbour line,CHS 5,28,VR4,POINT (153.2 -30.21),CURTAIN,TRUE,153.2068,-30.2116,IMOS-ATF
IMOS-ATF Coffs Harbour line,IMOS-ATF Coffs Harbour line,CHS 6,29,VR4,POINT (153.21 -30.21),CURTAIN,TRUE,153.215,-30.2107,IMOS-ATF
IMOS-ATF Coffs Harbour line,IMOS-ATF Coffs Harbour line,CHS 7,31,VR4,POINT (153.22 -30.2),CURTAIN,TRUE,153.2233,-30.2099,IMOS-ATF
IMOS-ATF Coffs Harbour line,IMOS-ATF Coffs Harbour line,CHS 8,36,VR4,POINT (153.23 -30.2),CURTAIN,TRUE,153.232,-30.2092,IMOS-ATF
IMOS-ATF Coffs Harbour line,IMOS-ATF Coffs Harbour line,CHS 9,32,VR4,POINT (153.24 -30.2),CURTAIN,TRUE,153.2406,-30.2082,IMOS-ATF
